x,y,pass_end_x,pass_end_y,pass_angle,pass_length,pass_technique,pass_type,play_pattern,under_pressure,possession_team_id,shot_statsbomb_xg_y
106.9,22.7,100.7,37.0,1.9799004,15.586212,Normal,Open Play,From Goal Kick,False,177,0.02492337
120.0,80.0,112.8,44.9,-1.7731179,35.830853,Outswinging,Corner,From Corner,False,177,0.07343338
84.5,42.0,109.6,46.2,0.16579467,25.448969,Normal,Free Kick,From Free Kick,False,177,0.039969075
117.8,12.6,111.9,52.1,1.7190672,39.9382,Normal,Recovery,From Throw In,False,177,0.047150716
106.1,58.1,111.1,42.7,-1.2568581,16.191357,Normal,Open Play,From Counter,False,173,0.40062255
63.3,15.2,80.2,30.9,0.74860495,23.067293,Normal,Open Play,Regular Play,False,177,0.030917957
120.0,0.1,109.8,35.0,1.8551404,36.360004,Normal,Corner,From Corner,False,175,0.093703695
108.4,20.8,99.7,28.1,2.4434721,11.356936,Normal,Open Play,From Corner,False,175,0.029942146
93.7,11.9,103.1,40.8,1.2563298,30.390295,Normal,Open Play,Regular Play,False,178,0.19161974
120.0,80.0,113.7,50.2,-1.779138,30.45866,Outswinging,Corner,From Corner,False,178,0.041023172
104.7,3.6,111.4,42.7,1.4010891,39.669888,Normal,Open Play,From Throw In,False,178,0.26868358
70.2,17.6,108.3,47.2,0.6604978,48.246967,Normal,Free Kick,From Free Kick,False,178,0.032985102
120.0,0.1,111.8,36.7,1.7912004,37.50733,Outswinging,Corner,From Corner,False,178,0.07036181
91.5,6.2,111.9,37.3,0.9902507,37.193684,Normal,Open Play,From Free Kick,False,178,0.18983841
90.1,7.3,107.3,35.2,1.0183418,32.775753,Normal,Open Play,From Corner,False,178,0.041676693
94.6,15.0,110.9,49.8,1.1327543,38.428246,Normal,Free Kick,From Free Kick,False,178,0.042746406
87.0,60.0,112.3,35.3,-0.77339876,35.357883,Normal,Free Kick,From Free Kick,False,178,0.063481025
117.3,22.2,108.0,32.8,2.2909606,14.1014185,Normal,Open Play,From Free Kick,False,175,0.18715383
111.1,71.4,109.3,48.2,-1.6482275,23.269722,Normal,Open Play,From Goal Kick,False,178,0.0992518
70.3,75.2,85.7,69.1,-0.37714317,16.564117,Normal,Open Play,From Free Kick,False,178,0.024508987
105.8,20.6,111.1,28.7,0.9913895,9.679876,Through Ball,Open Play,From Goal Kick,False,175,0.20056003
117.7,22.9,105.5,24.7,2.9951084,12.332072,Normal,Open Play,From Free Kick,False,178,0.047226116
55.0,62.0,63.0,58.2,-0.44344833,8.856636,Normal,Open Play,From Counter,True,175,0.011244529
120.0,80.0,109.4,29.2,-1.7765062,51.894123,Outswinging,Corner,From Corner,False,178,0.029588437
113.5,8.6,110.7,31.3,1.6935245,22.872036,Normal,Open Play,Regular Play,False,178,0.05736894
97.9,60.9,103.1,33.8,-1.3812187,27.594383,Normal,Open Play,Regular Play,False,175,0.06057666
107.2,58.8,110.6,47.2,-1.2856786,12.088011,Normal,Open Play,From Free Kick,False,175,0.15836006
87.1,8.6,108.5,43.6,1.0220158,41.023895,Normal,Free Kick,From Free Kick,False,175,0.053948097
97.5,56.8,109.5,36.4,-1.0390723,23.6677,Normal,Open Play,From Throw In,False,175,0.23927395
107.3,20.2,104.9,36.5,1.7169852,16.47574,Normal,Open Play,From Free Kick,False,175,0.19351725
20.1,56.2,77.4,65.1,0.15409157,57.98707,Normal,Open Play,From Counter,False,175,0.009039639
120.0,0.1,111.8,54.7,1.7198654,55.21232,Inswinging,Corner,From Corner,False,180,0.035851806
116.8,59.5,109.4,46.3,-2.0817459,15.132746,Normal,Open Play,From Throw In,False,180,0.14921764
92.8,62.0,94.1,55.7,-1.3673033,6.432729,Normal,Recovery,From Throw In,True,180,0.06338504
87.7,53.5,81.1,34.1,-1.8987197,20.49195,Normal,Open Play,From Throw In,False,184,0.019944325
104.9,47.2,92.9,40.8,-2.6516354,13.6,Normal,Open Play,From Corner,False,180,0.021927945
103.1,55.7,110.0,40.6,-1.1421748,16.601807,Normal,Recovery,From Corner,True,180,0.23229769
116.5,50.0,114.7,44.0,-1.8622531,6.264184,Normal,Open Play,Regular Play,False,180,0.21872734
50.5,26.6,87.1,61.6,0.7630555,50.641483,Through Ball,Open Play,Regular Play,False,180,0.17584634
115.1,20.6,113.8,44.5,1.6251361,23.93533,Normal,Open Play,Regular Play,True,180,0.41636693
120.0,80.0,108.6,38.3,-1.837657,43.230198,Outswinging,Corner,From Corner,False,180,0.043179367
114.3,22.4,103.2,30.0,2.5412195,13.452509,Normal,Open Play,From Corner,False,180,0.050504405
117.2,39.1,115.6,42.1,2.0607536,3.4,Normal,Recovery,Regular Play,False,180,0.5818559
95.3,30.9,108.2,30.0,-0.06965458,12.931357,Normal,Open Play,From Throw In,True,184,0.12233025
102.6,28.5,103.6,21.1,-1.4364749,7.467262,Normal,Open Play,Regular Play,False,180,0.012249234
120.0,80.0,111.4,42.4,-1.7956519,38.570972,Outswinging,Corner,From Corner,False,180,0.09984142
70.5,59.3,76.9,52.7,-0.80078155,9.193476,Normal,Open Play,From Goal Kick,True,171,0.0064544138
97.0,19.2,88.3,52.6,1.825613,34.51449,Normal,Open Play,Regular Play,False,179,0.026711179
120.0,0.1,99.5,58.6,1.9078518,61.987904,Outswinging,Corner,From Corner,False,179,0.008270882
54.4,40.2,103.2,23.2,-0.33521363,51.6763,Normal,Recovery,From Counter,False,179,0.036001805
94.3,8.0,105.0,26.7,1.0510745,21.544836,Normal,Open Play,Regular Play,False,179,0.14924437
85.8,39.9,110.6,60.5,0.6931497,32.239727,Normal,Open Play,From Keeper,False,171,0.06617343
100.9,67.9,108.8,51.5,-1.1218897,18.203571,Normal,Open Play,Regular Play,False,179,0.078016356
82.6,38.5,100.6,25.5,-0.62548506,22.203604,Normal,Open Play,Regular Play,True,179,0.08366129
120.0,0.1,111.5,41.4,1.7737732,42.165627,Outswinging,Corner,From Corner,False,179,0.07008777
76.7,20.2,91.5,46.3,1.0549574,30.004166,Normal,Open Play,From Throw In,False,179,0.052687787
120.0,80.0,112.0,42.4,-1.7804362,38.441643,Outswinging,Corner,From Corner,False,179,0.08027162
116.8,8.8,96.2,19.2,2.6740692,23.076395,Normal,Open Play,From Corner,True,179,0.0092054205
87.3,15.1,110.6,43.4,0.8819958,36.657604,Normal,Open Play,From Corner,False,179,0.16169174
94.7,29.4,87.0,40.5,2.1772773,13.509256,Normal,Open Play,Regular Play,True,179,0.026184632
120.0,0.1,113.1,40.1,1.7416153,40.590763,Outswinging,Corner,From Corner,False,179,0.099180825
81.4,47.0,104.8,26.0,-0.7313967,31.441374,Normal,Open Play,Regular Play,True,179,0.2078205
97.2,25.8,107.4,19.4,-0.5603599,12.0415945,Normal,Recovery,Regular Play,True,179,0.03302448
107.4,15.8,103.3,21.2,2.220197,6.780118,Normal,Open Play,From Throw In,False,171,0.00921286
85.0,43.1,93.1,35.4,-0.76008713,11.175867,Normal,Recovery,From Throw In,False,179,0.037824262
103.6,78.2,100.1,34.3,-1.6503547,44.0393,Normal,Open Play,Regular Play,False,180,0.07952437
101.6,53.2,107.2,56.3,0.5055811,6.400781,Normal,Open Play,From Free Kick,False,174,0.042349007
86.0,67.4,100.1,31.1,-1.2003039,38.942265,Normal,Open Play,Regular Play,False,180,0.0781734
109.4,35.2,96.1,44.9,2.5114565,16.46147,Normal,Open Play,From Corner,False,174,0.02348777
109.2,58.0,116.5,30.2,-1.3140038,28.742477,Normal,Open Play,Regular Play,False,180,0.11520057
93.9,36.6,103.5,50.6,0.96972257,16.975277,Normal,Open Play,Regular Play,False,180,0.08853571
49.7,54.4,101.2,60.3,0.11406581,51.83686,Through Ball,Open Play,From Throw In,False,180,0.23810399
92.2,56.8,106.2,44.4,-0.72486615,18.701872,Through Ball,Open Play,From Throw In,False,180,0.21202113
96.2,62.8,94.6,49.3,-1.6887646,13.594484,Normal,Open Play,From Throw In,False,180,0.06021137
82.1,41.6,113.5,28.5,-0.3952433,34.02308,Normal,Free Kick,From Free Kick,False,180,0.07716651
95.1,16.8,114.3,42.8,0.9347208,32.320892,Normal,Open Play,Regular Play,False,180,0.30748716
67.1,49.9,78.5,9.8,-1.2938147,41.68897,Normal,Open Play,Regular Play,False,180,0.03007483
118.3,59.4,114.7,48.0,-1.8766752,11.954915,Normal,Open Play,Regular Play,False,181,0.061360113
111.1,35.7,109.8,41.5,1.79129,5.9439044,Normal,Open Play,From Free Kick,True,181,0.06355161
83.0,70.8,108.4,44.7,-0.79898953,36.41936,Normal,Free Kick,From Free Kick,False,178,0.040476196
89.9,64.6,100.5,74.8,0.7661698,14.710541,Normal,Open Play,From Free Kick,True,181,0.011202914
112.9,59.5,104.8,47.7,-2.172364,14.312582,Normal,Open Play,Regular Play,False,181,0.1304742
46.3,27.4,57.6,44.0,0.9731255,20.081085,Normal,Open Play,Regular Play,False,181,0.034820132
109.7,49.7,108.2,47.8,-2.2390857,2.4207437,Normal,Open Play,From Corner,False,181,0.09024133
105.1,42.6,104.8,38.1,-1.6373645,4.509989,Normal,Open Play,From Corner,False,181,0.103134975
96.1,56.4,104.6,43.1,-1.0021235,15.784169,Normal,Open Play,Regular Play,False,181,0.13127805
95.7,60.7,92.7,53.8,-1.9809237,7.5239615,Normal,Open Play,From Throw In,False,181,0.026811862
86.2,49.6,108.6,52.5,0.12874816,22.586943,Through Ball,Open Play,Regular Play,False,181,0.17943968
120.0,80.0,110.7,42.5,-1.8138918,38.635994,Outswinging,Corner,From Corner,False,181,0.06000638
107.9,59.3,102.1,50.5,-2.1535358,10.53945,Normal,Open Play,From Throw In,True,181,0.06001722
105.7,74.4,108.7,42.2,-1.4778968,32.33945,Normal,Open Play,From Throw In,False,178,0.07045752
96.0,44.6,91.2,40.1,-2.3884413,6.5795135,Normal,Open Play,Regular Play,False,178,0.038197927
82.8,4.5,76.6,15.9,2.068913,12.976903,Normal,Open Play,Regular Play,False,181,0.024417866
85.4,20.5,85.1,39.0,1.5870111,18.502432,Normal,Open Play,Regular Play,False,178,0.023346512
120.0,0.1,114.4,35.7,1.7268212,36.037758,Outswinging,Corner,From Corner,False,181,0.1293699
58.6,25.8,70.4,8.5,-0.97219807,20.941109,Normal,Open Play,Regular Play,False,181,0.021760197
92.0,43.2,102.6,55.3,0.85138154,16.08633,Normal,Open Play,From Free Kick,False,178,0.11072953
85.7,42.2,105.3,11.0,-1.0098956,36.845623,Normal,Open Play,From Throw In,False,178,0.015592494
100.6,38.8,104.5,21.6,-1.3478223,17.63661,Normal,Open Play,Regular Play,True,177,0.036409643
111.3,56.3,112.9,39.6,-1.4752795,16.776472,Normal,Open Play,From Corner,False,178,0.11664875
83.1,22.2,106.7,30.3,0.33062232,24.951353,Through Ball,Open Play,Regular Play,False,177,0.22257295
89.4,10.4,105.1,8.6,-0.11415127,15.802848,Normal,Open Play,From Throw In,False,178,0.0501959
117.8,23.6,112.1,39.1,1.9231887,16.514841,Normal,Open Play,From Throw In,False,177,0.23796779
120.0,0.1,116.5,47.5,1.6445023,47.529045,Inswinging,Corner,From Corner,False,177,0.07653259
79.5,57.7,78.4,53.6,-1.8329161,4.244997,Normal,Open Play,From Free Kick,False,178,0.03473206
73.3,55.2,86.6,46.3,-0.5897357,16.003124,Normal,Open Play,From Free Kick,True,177,0.029454323
91.0,26.9,88.4,42.0,1.7413098,15.3222065,Normal,Open Play,Regular Play,False,178,0.020363836
83.1,29.7,102.3,19.8,-0.47606933,21.602083,Normal,Open Play,From Counter,False,178,0.07237094
120.0,80.0,114.1,38.4,-1.7116836,42.016308,Inswinging,Corner,From Corner,False,178,0.20231038
106.1,21.6,92.0,30.0,2.604308,16.412495,Normal,Recovery,Regular Play,True,178,0.025327073
79.0,20.0,90.2,3.9,-0.96299434,19.612495,Normal,Open Play,Regular Play,False,178,0.007959514
105.8,21.5,91.5,34.2,2.4153845,19.125376,Normal,Open Play,Regular Play,False,177,0.04869421
93.6,4.7,91.3,28.0,1.66919,23.413244,Normal,Open Play,Regular Play,False,178,0.046311557
92.8,30.7,105.5,59.3,1.1528964,31.29297,Normal,Open Play,Regular Play,False,177,0.14976257
95.8,25.6,108.1,21.0,-0.3578794,13.132022,Normal,Open Play,From Free Kick,False,177,0.027099892
87.2,60.2,92.0,47.4,-1.2120256,13.670406,Normal,Recovery,From Goal Kick,True,178,0.191439
85.1,3.6,90.5,30.2,1.3705106,27.142586,Normal,Open Play,From Keeper,False,177,0.022302082
120.0,80.0,108.8,40.6,-1.8477546,40.960957,Outswinging,Corner,From Corner,False,177,0.04067389
90.2,33.2,104.0,34.8,0.11542666,13.892444,Normal,Open Play,Regular Play,False,177,0.5136694
120.0,0.1,112.4,33.4,1.7951813,34.156258,Straight,Corner,From Corner,False,169,0.08070465
53.5,42.1,101.8,59.3,0.34210554,51.27114,Normal,Open Play,From Free Kick,True,172,0.010069517
85.6,66.1,95.6,77.8,0.8635795,15.391232,Normal,Open Play,From Throw In,False,169,0.0054728086
110.4,14.8,114.0,47.3,1.4604769,32.698776,Normal,Open Play,Regular Play,False,169,0.091144115
85.8,56.9,106.7,75.9,0.7378151,28.245531,Normal,Open Play,From Goal Kick,True,169,0.032346968
106.4,10.9,113.7,46.4,1.3679895,36.242794,Normal,Open Play,From Free Kick,False,169,0.114512965
97.2,48.8,100.5,43.9,-0.9780989,5.9076223,Normal,Open Play,Regular Play,False,169,0.06428851
55.5,30.1,86.4,42.6,0.3844061,33.332565,Normal,Open Play,Regular Play,False,169,0.25548998
120.0,80.0,108.0,37.9,-1.8484684,43.77682,Outswinging,Corner,From Corner,False,169,0.035053313
84.8,21.1,99.1,60.5,1.2226368,41.914795,Normal,Open Play,Regular Play,False,169,0.0138952555
101.9,31.2,100.8,31.6,2.7928216,1.17047,Normal,Open Play,Regular Play,False,172,0.04835949
84.8,39.0,101.2,33.3,-0.3345003,17.362316,Normal,Open Play,From Goal Kick,False,169,0.09398602
64.5,44.6,92.4,24.1,-0.6336805,34.62167,Normal,Open Play,From Throw In,False,169,0.057400145
77.7,55.2,98.8,74.5,0.74087316,28.595453,Normal,Open Play,From Throw In,False,169,0.008716138
109.2,28.6,109.9,35.3,1.4666964,6.736468,Normal,Recovery,From Corner,True,169,0.08936803
83.5,53.5,84.8,28.4,-1.5190498,25.133642,Normal,Open Play,Regular Play,False,169,0.042016502
105.5,17.7,106.0,36.5,1.5442069,18.806648,Normal,Open Play,Regular Play,False,169,0.10361148
90.6,39.8,113.4,28.2,-0.4706405,25.581244,Normal,Open Play,From Throw In,False,169,0.09462575
105.0,30.8,108.3,21.5,-1.2298174,9.868131,Normal,Open Play,Regular Play,False,169,0.16991962
72.2,36.3,107.4,33.1,-0.09065989,35.345154,Normal,Open Play,Regular Play,False,169,0.1645458
113.9,76.5,109.9,29.6,-1.6558783,47.070267,Normal,Open Play,From Throw In,False,171,0.05168281
120.0,0.1,114.9,28.6,1.7478695,28.95272,Outswinging,Corner,From Corner,False,174,0.036113758
90.3,39.8,88.5,28.4,-1.7273982,11.54123,Normal,Open Play,From Free Kick,False,174,0.020551272
88.5,9.5,82.7,24.3,1.9442935,15.895911,Normal,Open Play,Regular Play,False,171,0.022733837
86.3,11.6,111.5,37.2,0.793272,35.92214,Normal,Free Kick,From Free Kick,False,171,0.14948082
99.0,16.7,101.2,22.9,1.2298174,6.5787535,Normal,Open Play,From Throw In,True,174,0.03117539
120.0,0.1,111.5,37.4,1.7948523,38.25624,Outswinging,Corner,From Corner,False,174,0.13458174
68.1,64.0,87.8,10.8,-1.216152,56.730328,Normal,Open Play,From Kick Off,False,171,0.009410816
94.0,75.0,87.6,59.8,-1.9693187,16.492422,Normal,Open Play,From Free Kick,False,174,0.03732249
105.0,12.3,110.9,35.9,1.3258177,24.326323,Normal,Open Play,Regular Play,False,174,0.07383996
79.8,14.1,108.4,38.4,0.70429105,37.529324,Normal,Open Play,From Throw In,False,171,0.07510671
92.9,11.5,118.7,50.2,0.98279375,46.511612,Normal,Open Play,From Free Kick,False,171,0.015795454
111.1,48.9,100.6,46.6,-2.925951,10.748954,Normal,Open Play,From Throw In,True,171,0.045894597
93.1,3.6,98.2,19.4,1.2585692,16.60271,Normal,Open Play,Regular Play,False,171,0.03398599
105.9,70.9,108.6,30.5,-1.5040638,40.490124,Normal,Open Play,From Free Kick,False,171,0.030932292
87.9,66.0,85.8,59.4,-1.8788491,6.926038,Normal,Open Play,From Throw In,True,176,0.022710433
109.5,7.5,112.2,45.3,1.4994888,37.896305,Normal,Open Play,Regular Play,False,176,0.07708322
114.6,56.0,104.9,53.0,-2.8416455,10.153324,Normal,Open Play,From Free Kick,True,173,0.018045992
120.0,80.0,113.1,44.3,-1.7617195,36.360695,Outswinging,Corner,From Corner,False,176,0.08592558
104.7,42.2,99.1,39.7,-2.7217126,6.132699,Normal,Open Play,From Goal Kick,False,173,0.06023148
101.4,41.0,102.0,36.2,-1.4464413,4.8373547,Normal,Open Play,From Throw In,False,173,0.069413565
78.4,27.6,78.4,46.2,1.5707964,18.6,Normal,Open Play,Regular Play,False,176,0.015776569
98.5,75.2,108.2,42.6,-1.2815924,34.012497,Normal,Open Play,From Free Kick,False,173,0.06972745
90.6,31.5,106.2,58.1,1.0403876,30.83699,Normal,Open Play,Regular Play,False,173,0.073289864
62.1,23.4,89.1,44.3,0.65873134,34.14396,Normal,Open Play,From Throw In,True,176,0.11213037
120.0,80.0,108.9,38.8,-1.8339652,42.669075,Outswinging,Corner,From Corner,False,176,0.041438505
96.7,0.1,104.4,7.2,0.7448798,10.473777,Normal,Throw-in,From Throw In,False,172,0.008546585
77.3,49.3,93.1,27.7,-0.9392528,26.761913,Normal,Open Play,From Throw In,False,172,0.02339313
82.6,38.2,87.5,47.0,1.0627335,10.072239,Normal,Open Play,Regular Play,False,172,0.06658026
97.8,55.5,98.2,48.5,-1.5137155,7.0114193,Normal,Open Play,Regular Play,True,172,0.015965661
92.7,60.3,111.1,29.0,-1.0393516,36.307713,Normal,Open Play,Regular Play,False,181,0.057991605
95.2,63.1,101.4,52.4,-1.0456322,12.366487,Normal,Open Play,Regular Play,False,181,0.05769715
102.1,74.6,105.3,70.3,-0.9310265,5.3600373,Normal,Open Play,From Throw In,False,181,0.010811108
105.4,10.8,104.9,38.3,1.5889761,27.504545,Normal,Open Play,From Kick Off,False,181,0.07550254
68.7,7.9,94.8,9.8,0.072668746,26.169065,Normal,Open Play,Regular Play,True,181,0.026997035
120.0,80.0,113.7,37.6,-1.718302,42.865486,Inswinging,Corner,From Corner,False,181,0.18233113
105.7,43.8,99.1,48.1,2.564153,7.877182,Normal,Recovery,From Free Kick,False,181,0.044102523
90.3,26.5,98.5,60.5,1.3341392,34.97485,Normal,Open Play,Regular Play,False,172,0.013043134
101.4,23.0,95.7,33.3,2.0762446,11.772,Normal,Open Play,Regular Play,False,172,0.04404404
58.0,21.4,107.2,35.4,0.27722555,51.153103,Normal,Open Play,From Free Kick,False,172,0.010142094
95.8,9.9,92.6,37.5,1.686223,27.784887,Normal,Open Play,Regular Play,False,181,0.03604694
107.7,22.8,99.1,27.1,2.6779451,9.615092,Normal,Open Play,From Free Kick,True,181,0.030539736
120.0,80.0,111.0,43.4,-1.811914,37.690315,Outswinging,Corner,From Corner,False,172,0.062133096
96.3,42.0,106.7,59.6,1.0370882,20.443092,Normal,Open Play,From Corner,False,172,0.060345754
91.5,17.4,110.5,41.1,0.8950271,30.375813,Normal,Free Kick,From Free Kick,False,181,0.05979303
93.3,77.1,108.2,47.1,-1.1098189,33.496418,Normal,Open Play,From Throw In,False,172,0.035948
120.0,80.0,110.7,38.7,-1.7922837,42.33415,Outswinging,Corner,From Corner,False,172,0.07475907
77.0,31.2,84.5,48.5,1.1617262,18.855768,Normal,Open Play,From Throw In,False,172,0.024836646
98.4,38.3,109.7,26.0,-0.82774574,16.702694,Normal,Open Play,From Free Kick,True,181,0.062206145
83.3,45.1,85.4,52.5,1.2942824,7.692204,Normal,Open Play,From Goal Kick,False,171,0.023190701
111.3,64.0,107.1,47.6,-1.8215055,16.929264,Normal,Open Play,From Free Kick,True,171,0.08552873
108.1,61.7,114.3,35.7,-1.3367065,26.72901,Normal,Free Kick,From Free Kick,False,172,0.1511755
88.3,37.6,99.0,27.5,-0.75656,14.713939,Normal,Open Play,From Free Kick,False,172,0.044528864
120.0,80.0,109.9,36.7,-1.7999552,44.462345,Outswinging,Corner,From Corner,False,172,0.038632255
100.0,25.8,94.3,49.4,1.8077831,24.278591,Normal,Open Play,From Throw In,False,171,0.0296117
79.2,21.4,73.2,40.1,1.8812752,19.638992,Normal,Open Play,Regular Play,False,172,0.009039259
